CREDIT_BALANCE,SEX,EDUCATION,MARRIAGE,AGE_CATEGORY,PAYMENT_DECEMBER,PAYMENT_NOVEMBER,BILL_AMOUNT_DECEMBER,BILL_AMOUNT_NOVEMBER,AMOUNT_PAID_DECEMBER,AMOUNT_PAID_NOVEMBER,STATUS,STATE,OCCUPATION,CREDIT_RATING,TENURE_RANGE,AVERAGE_SPEND
3900,Female,High School,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Near Prime,10 to 15 months,"Less than $1,000"
600,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Washington,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
3900,Female,University,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Near Prime,15 to 20 months,"Less than $1,000"
300,Male,University,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
600,Male,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
6000,Male,Graduate School,Married,Above 50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Virginia,Business,Prime,10 to 15 months,"$1,000 to $5,000"
3000,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Near Prime,20 to 25 months,"Less than $1,000"
9900,Female,Graduate School,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,20 to 25 months,"$1,000 to $5,000"
12000,Male,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Super Prime,More than 25 months,"Less than $1,000"
900,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,New York,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
